City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Ushuaia,AR,-54.8,-68.3,44.26,49,40,12.66,scattered clouds
81,New Norfolk,AU,-42.7826,147.0587,44.74,91,100,2.95,overcast clouds
82,Rikitea,PF,-23.1203,-134.9692,75.63,77,52,11.65,light rain
83,Ilulissat,GL,69.2167,-51.1,45.57,52,0,7.92,clear sky
84,Castro,BR,-24.7911,-50.0119,53.51,95,36,3.67,scattered clouds
85,Matamoros,MX,25.5333,-103.25,93.65,25,92,19.69,overcast clouds
86,Cabedelo,BR,-6.9811,-34.8339,75.87,81,6,10.54,clear sky
87,Paris,FR,48.8534,2.3488,58.21,89,90,1.99,overcast clouds
88,Opatija,HR,45.3392,14.3083,77.68,78,3,3.13,clear sky
89,Margate,GB,51.3813,1.3862,55.87,73,100,5.01,overcast clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,54.12,62,0,11.99,clear sky
91,Qaanaaq,GL,77.484,-69.3632,42.3,56,82,7.87,broken clouds
92,Saint George,US,37.1041,-113.5841,104.63,10,1,7.0,clear sky
93,Empalme,MX,27.9667,-110.8167,97.36,46,16,11.7,few clouds
94,Neokhorion,GR,41.1833,23.25,77.22,88,28,3.02,scattered clouds
95,Manzhouli,CN,49.6,117.4333,69.08,51,8,2.77,clear sky
96,Campechuela,CU,20.2342,-77.2789,82.87,80,95,6.4,moderate rain
97,Tuatapere,NZ,-46.1333,167.6833,44.82,82,51,0.6,broken clouds
98,Astoria,US,46.1879,-123.8313,82.09,76,40,11.5,scattered clouds
99,Tosham,IN,28.8833,75.9167,93.36,31,30,4.92,scattered clouds
100,Torbay,CA,47.6666,-52.7314,74.17,53,75,10.36,broken clouds
101,Kaitangata,NZ,-46.2817,169.8464,43.81,80,28,1.79,scattered clouds
102,Turukhansk,RU,65.8167,87.9833,41.31,95,100,10.58,overcast clouds
103,Kresttsy,RU,58.2452,32.5165,70.05,73,96,4.85,overcast clouds
104,Salinopolis,BR,-0.6136,-47.3561,79.48,79,7,10.2,clear sky
105,Tecoanapa,MX,16.5167,-98.75,85.48,70,94,7.58,overcast clouds
106,Faanui,PF,-16.4833,-151.75,79.97,74,26,6.26,light rain
107,Victoria,HK,22.2855,114.1577,82.33,86,100,5.99,overcast clouds
108,Bredasdorp,ZA,-34.5322,20.0403,57.27,77,83,9.22,broken clouds
109,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.14,82,52,10.89,broken clouds
110,Alice Springs,AU,-23.7,133.8833,51.35,100,90,3.44,overcast clouds
111,Mizdah,LY,31.4451,12.9801,90.18,19,71,6.91,broken clouds
112,Port Hardy,CA,50.6996,-127.4199,60.98,72,75,12.66,broken clouds
113,Thompson,CA,55.7435,-97.8558,71.76,30,75,10.36,broken clouds
114,Nara,JP,34.6851,135.8049,73.49,61,100,4.14,overcast clouds
115,Placido De Castro,BR,-10.3353,-67.1856,79.68,61,97,1.79,overcast clouds
116,Ponta Do Sol,PT,32.6667,-17.1,69.71,69,68,5.39,broken clouds
117,Chapais,CA,49.7834,-74.8492,53.38,48,85,7.83,overcast clouds
118,Ornskoldsvik,SE,63.2909,18.7153,58.15,94,90,3.44,overcast clouds
119,Vengerovo,RU,55.6848,76.7471,45.75,89,96,3.76,overcast clouds
120,Port Blair,IN,11.6667,92.75,82.31,78,100,16.42,overcast clouds
121,Dingle,PH,10.9995,122.6711,78.1,79,100,3.06,overcast clouds
122,Alcala La Real,ES,37.4614,-3.923,63.91,57,7,1.99,clear sky
123,Nicoya,CR,10.1483,-85.452,80.15,88,84,4.16,light rain
124,Oksfjord,NO,70.2396,22.3479,48.27,93,99,7.09,overcast clouds
125,Araouane,ML,18.9048,-3.5265,90.27,32,1,13.69,clear sky
126,Ochamchira,GE,42.7121,41.4721,67.24,93,3,4.16,clear sky
127,Cabo San Lucas,MX,22.8909,-109.9124,96.8,69,35,16.06,scattered clouds
128,Severo-Kurilsk,RU,50.6789,156.125,46.6,85,66,6.73,broken clouds
129,Sosua,DO,19.7667,-70.5167,82.53,78,40,9.22,scattered clouds
130,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,55.94,54,100,4.7,overcast clouds
131,Trelew,AR,-43.249,-65.3051,50.29,78,100,14.25,overcast clouds
132,Bolotnoye,RU,55.6717,84.3981,46.78,98,100,6.82,light rain
133,Taksimo,RU,56.3444,114.8794,70.54,56,24,0.94,few clouds
134,Jacareacanga,BR,-6.2222,-57.7528,82.08,50,65,1.3,broken clouds
135,Marsa Matruh,EG,31.3525,27.2453,75.4,69,0,5.75,clear sky
136,Dikson,RU,73.5069,80.5464,31.68,86,100,16.78,overcast clouds
137,Mount Isa,AU,-20.7333,139.5,56.97,58,39,1.14,scattered clouds
138,Chatham,GB,51.3789,0.5279,55.98,79,94,7.9,overcast clouds
139,Bluff,NZ,-46.6,168.3333,44.8,71,24,6.91,few clouds
140,Fortuna,US,40.5982,-124.1573,79.2,67,1,3.0,clear sky
141,Dukat,RU,62.55,155.55,55.78,48,100,4.29,overcast clouds
142,Maceio,BR,-9.6658,-35.7353,74.64,83,75,1.14,broken clouds
143,Pathein,MM,16.7833,94.7333,76.35,92,99,4.83,light rain
144,Silver City,US,32.7701,-108.2803,93.92,23,1,18.01,clear sky
145,Tasiilaq,GL,65.6145,-37.6368,38.48,72,5,4.59,clear sky
146,Hobart,AU,-42.8794,147.3294,45.1,92,0,3.0,clear sky
147,Aklavik,CA,68.2191,-135.0107,61.52,55,75,11.5,broken clouds
148,Ostrovnoy,RU,68.0531,39.5131,61.61,84,68,8.72,broken clouds
149,Chulman,RU,56.8479,124.9104,67.89,74,74,2.62,broken clouds
150,Rio Grande,BR,-32.035,-52.0986,57.94,80,100,14.83,overcast clouds
151,High Level,CA,58.5169,-117.136,68.11,68,75,13.8,light rain
152,Beaverlodge,CA,55.2166,-119.4361,79.95,43,53,8.99,broken clouds
153,Port Macquarie,AU,-31.4333,152.9167,54.9,78,97,4.81,overcast clouds
154,Kapaa,US,22.0752,-159.319,84.18,77,42,3.0,scattered clouds
155,Wajima,JP,37.4,136.9,67.35,83,19,4.63,few clouds
156,Menongue,AO,-14.6585,17.691,47.35,53,21,3.76,few clouds
157,Forestville,US,38.8451,-76.875,70.07,74,20,12.66,few clouds
158,Nome,US,64.5011,-165.4064,69.12,62,79,4.59,broken clouds
159,Mezen,RU,65.8522,44.24,63.7,93,72,2.59,broken clouds
160,Cherskiy,RU,68.75,161.3,68.76,39,36,4.41,scattered clouds
161,Palmer,US,42.1584,-72.3287,64.38,83,90,4.61,moderate rain
162,Sotouboua,TG,8.5667,0.9833,73.13,86,100,3.31,overcast clouds
163,Carnarvon,AU,-24.8667,113.6333,42.87,60,0,6.91,clear sky
164,Upernavik,GL,72.7868,-56.1549,45.0,54,2,9.04,clear sky
165,Puerto Madryn,AR,-42.7692,-65.0385,52.79,79,100,15.82,overcast clouds
166,Mahebourg,MU,-20.4081,57.7,68.29,83,75,10.36,light rain
167,Sandwick,GB,60.0,-1.25,51.62,82,40,10.36,scattered clouds
168,Olafsvik,IS,64.8945,-23.7142,46.99,79,6,11.34,clear sky
169,Talang,PH,15.0228,120.8375,80.94,81,100,1.92,overcast clouds
170,Arteaga,MX,18.4667,-102.4167,75.07,75,77,5.93,broken clouds
171,Lingao,CN,19.9103,109.6859,83.39,76,100,6.04,light rain
172,Kamennomostskiy,RU,44.2983,40.1856,67.78,95,49,3.33,scattered clouds
173,Bengkulu,ID,-3.8004,102.2655,74.39,89,43,6.62,scattered clouds
174,Gambo,CF,4.6482,22.2633,67.84,99,100,1.9,light rain
175,Leh,IN,34.1667,77.5833,48.22,63,81,4.12,broken clouds
176,Kita,ML,13.0349,-9.4895,78.3,63,89,5.46,overcast clouds
177,Beringovskiy,RU,63.05,179.3167,41.09,80,100,10.2,overcast clouds
178,Coihaique,CL,-45.5752,-72.0662,32.61,93,0,0.0,clear sky
179,Turayf,SA,31.6725,38.6637,75.45,33,0,8.05,clear sky
180,Ixtapa,MX,20.7,-105.2,81.23,82,96,4.0,overcast clouds
181,Ammon,US,43.4696,-111.9666,91.35,22,4,1.99,clear sky
182,Stanger,ZA,-29.3282,31.2895,63.0,35,3,5.59,clear sky
183,Pisco,PE,-13.7,-76.2167,64.45,82,90,5.75,overcast clouds
184,Bauchi,NG,10.5,10.0,70.02,86,73,2.48,broken clouds
185,Emilio Carranza,MX,19.9711,-96.6114,86.72,74,100,11.41,overcast clouds
186,Zyryanka,RU,65.75,150.85,67.21,40,100,4.21,overcast clouds
