City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,Kulhudhuffushi,MV,81.57,overcast clouds,6.6221,73.07,
292,Port-Gentil,GA,76.96,light rain,-0.7193,8.7815,
295,Praia,CV,75.74,clear sky,14.9215,-23.5087,
296,Amahai,ID,79.23,overcast clouds,-3.3333,128.9167,
299,Coahuayana,MX,83.05,broken clouds,18.7333,-103.6833,
301,Marshall,US,80.96,clear sky,34.3834,-86.3333,
305,Marsh Harbour,BS,82.42,broken clouds,26.5412,-77.0636,
307,Bilma,NE,90.05,scattered clouds,18.6853,12.9164,
308,Caltagirone,IT,80.83,scattered clouds,37.2368,14.5126,
309,Gigmoto,PH,82.36,overcast clouds,13.7796,124.39,
312,Angleton,US,94.08,scattered clouds,29.1694,-95.4319,
313,Adrar,MR,90.03,clear sky,20.5022,-10.0711,
314,Luzhou,CN,75.79,broken clouds,28.8724,105.4405,
317,Cochrane,CA,89.42,clear sky,51.1834,-114.4687,
322,Novo Aripuana,BR,78.26,broken clouds,-5.1206,-60.3797,
325,Lala,PH,76.55,broken clouds,7.9745,123.7458,
332,Naukot,PK,82.99,clear sky,24.8587,69.4024,
338,The Valley,AI,82.54,few clouds,18.217,-63.0578,
339,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,
341,Devarkonda,IN,84.96,overcast clouds,16.7,78.9333,
346,Ternate,ID,80.22,broken clouds,0.8,127.4,
352,Ibra,OM,81.81,clear sky,22.6906,58.5334,
356,El Asintal,GT,85.55,scattered clouds,14.6,-91.7333,
360,Bandarbeyla,SO,76.84,overcast clouds,9.4942,50.8122,
361,Mbini,GQ,75.06,light rain,1.574,9.6134,
362,Rawah,IQ,82.85,clear sky,34.4816,41.9093,
364,Macapa,BR,85.98,few clouds,0.0389,-51.0664,
369,Dagua,CO,81.1,overcast clouds,3.6569,-76.6886,
370,Boa Vista,BR,78.78,moderate rain,2.8197,-60.6733,
372,Russell,US,85.15,broken clouds,32.3502,-85.1999,
374,Hobyo,SO,76.71,overcast clouds,5.3505,48.5268,
380,Kidal,ML,93.49,scattered clouds,18.4411,1.4078,
381,Tabuk,PH,78.46,overcast clouds,17.4189,121.4443,
386,Tambacounda,SN,93.25,clear sky,13.7539,-13.7586,
388,Kalmunai,LK,78.03,overcast clouds,7.4167,81.8167,
390,Merauke,ID,79.38,overcast clouds,-8.4667,140.3333,
403,Bhatkal,IN,79.0,overcast clouds,13.9667,74.5667,
404,Kudahuvadhoo,MV,82.4,overcast clouds,2.6708,72.8944,
406,La Ronge,CA,80.85,overcast clouds,55.1001,-105.2842,
407,Sulangan,PH,82.9,moderate rain,11.1373,123.7228,
413,Arlit,NE,89.24,clear sky,18.7369,7.3853,
417,Hambantota,LK,79.27,overcast clouds,6.1241,81.1185,
421,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,
423,Salalah,OM,79.54,overcast clouds,17.0151,54.0924,
437,Sassandra,CI,76.12,light rain,4.95,-6.0833,
439,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,
446,Daraitan,PH,78.53,overcast clouds,14.6028,121.4319,
448,Ugoofaaru,MV,82.08,overcast clouds,5.6667,73.0,
450,Grand Forks,US,80.78,scattered clouds,47.9417,-97.4337,
453,Bonoua,CI,78.42,overcast clouds,5.2741,-3.595,
454,Fairbanks,US,81.1,broken clouds,64.8378,-147.7164,
458,Hami,CN,76.89,overcast clouds,42.8,93.45,
462,San-Pedro,CI,76.01,light rain,4.7485,-6.6363,
464,Spanish Town,JM,85.68,few clouds,17.9911,-76.9574,
465,Numan,NG,75.31,overcast clouds,9.4667,12.0333,
467,Auki,SB,81.95,light rain,-8.7676,160.7034,
469,Pucallpa,PE,86.04,scattered clouds,-8.3791,-74.5539,
474,Pendleton,US,92.12,overcast clouds,45.6721,-118.7886,
479,Avera,US,80.26,overcast clouds,33.194,-82.5271,
482,Sinnamary,GF,78.37,few clouds,5.3833,-52.95,
483,Aswan,EG,89.69,clear sky,24.0934,32.907,
484,Payyannur,IN,77.13,overcast clouds,12.1,75.2,
494,Kant,IN,87.03,clear sky,27.8,79.8,
502,Looc,PH,83.05,overcast clouds,12.2605,121.9926,
507,Shahganj,IN,84.11,broken clouds,26.05,82.6833,
511,Jaunpur,IN,83.97,broken clouds,25.7333,82.6833,
512,Bonthe,SL,78.39,overcast clouds,7.5264,-12.505,
513,Akyab,MM,79.79,overcast clouds,20.15,92.9,
517,Kavaratti,IN,82.81,overcast clouds,10.5669,72.642,
522,Tukrah,LY,82.06,clear sky,32.5341,20.5791,
526,Palembang,ID,77.09,mist,-2.9167,104.7458,
528,Hobe Sound,US,86.99,scattered clouds,27.0595,-80.1364,
529,Saint Anthony,US,77.94,scattered clouds,45.0205,-93.21799999999999,
536,Caimito,CO,79.11,overcast clouds,8.8123,-75.4107,
537,Maraba,BR,82.58,few clouds,-5.3686,-49.1178,
544,Misratah,LY,82.63,clear sky,32.3754,15.0925,
547,Ozinki,RU,75.97,few clouds,51.1786,49.6769,
549,Surt,LY,82.47,clear sky,31.2089,16.5887,
550,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,
552,Sola,VU,79.72,scattered clouds,-13.8833,167.55,
560,La Asuncion,VE,76.73,scattered clouds,11.0333,-63.8628,
568,Lorengau,PG,82.27,scattered clouds,-2.0226,147.2712,
569,Abilene,US,91.89,scattered clouds,32.4487,-99.7331,
576,Yellandu,IN,82.38,overcast clouds,17.6,80.3333,
578,Champerico,GT,90.14,overcast clouds,14.3,-91.9167,
580,Lahaina,US,83.95,broken clouds,20.8783,-156.6825,
581,Veraval,IN,84.18,overcast clouds,20.9,70.3667,
594,Bajil,YE,87.49,broken clouds,15.0584,43.2851,
596,Shimoda,JP,75.16,overcast clouds,34.6667,138.95,
608,Hollister,US,81.82,clear sky,36.8525,-121.4016,
609,Fomboni,KM,78.46,overcast clouds,-12.28,43.7425,
619,Crixas,BR,76.55,few clouds,-14.5489,-49.9692,
620,High Rock,BS,86.02,clear sky,26.6208,-78.2833,
621,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,
630,Sultanpur,IN,84.43,few clouds,26.2667,82.0667,
632,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,
640,Santa Isabel Do Rio Negro,BR,78.57,broken clouds,-0.4139,-65.0192,
642,San Andres,CO,84.22,overcast clouds,12.5847,-81.7006,
646,Cua,VE,80.22,broken clouds,10.1589,-66.8858,
647,Tautira,PF,86.02,few clouds,-17.7333,-149.15,
648,Mabaruma,GY,75.61,overcast clouds,8.2,-59.7833,
649,Banda Aceh,ID,77.47,overcast clouds,5.5577,95.3222,
654,Dapdap,PH,79.65,light rain,12.062000000000001,125.4881,
655,Tambun,ID,79.48,haze,-6.2641,107.0712,
661,Kirkuk,IQ,85.21,clear sky,35.4681,44.3922,
664,Hospet,IN,75.54,overcast clouds,15.2667,76.4,
667,Ende,ID,76.6,few clouds,-8.8432,121.6623,
668,Rudsar,IR,75.85,clear sky,37.1376,50.288000000000004,
675,Maragogi,BR,75.36,clear sky,-9.0122,-35.2225,
676,Hirara,JP,78.66,broken clouds,24.8,125.2833,
682,Tari,NG,82.78,broken clouds,12.4086,4.4914,
683,Nagua,DO,81.45,broken clouds,19.3832,-69.8474,
684,Mehran,IR,90.88,clear sky,33.1222,46.1646,
689,Atar,MR,91.72,scattered clouds,20.5169,-13.0499,
690,Half Moon Bay,US,83.91,clear sky,37.4636,-122.4286,
693,Liku,ID,76.06,broken clouds,-0.7275,119.8922,
696,Sabha,LY,91.98,clear sky,27.0377,14.4283,
697,Ladario,BR,77.09,broken clouds,-19.0047,-57.6017,
698,Valleyview,CA,78.84,scattered clouds,55.0667,-117.2859,
701,Portland,US,88.63,overcast clouds,45.5234,-122.6762,
